artist,album,title,year,CD,Download,image
Casual,Fear Itself,I Didn't Mean To,0,1,1,https://cdn-s3.allmusic.com/release-covers/500/0000/136/0000136184.jpg
The Box Tops,Dimensions,Soul Deep,1969,,1,http://images.45cat.com/the-box-tops-soul-deep-bell-9.jpg
Sonora Santanera,Las Numero 1 De La Sonora Santanera,Amor De Cabaret,0,,,https://cps-static.rovicorp.com/3/JPG_500/MI0004/133/MI0004133481.jpg?partner=allrovi.com
Adam Ant,Friend Or Foe,Something Girls,1982,,,https://cdn-s3.allmusic.com/release-covers/500/0000/278/0000278673.jpg
Gob,Muertos Vivos,Face the Ashes,2007,,,https://i.ytimg.com/vi/u8uMfDBztcA/maxresdefault.jpg
Jeff And Sheri Easter,Ordinary Day,The Moon And I (Ordinary Day Album Version),0,,,https://images.shazam.com/coverart/t58400582-b724591808_s400.jpg
Rated R,Da Ghetto Psychic,Keepin It Real (Skit),0,,,https://resources.wimpmusic.com/images/d9f43ea3/9bf1/443b/a843/62bac25f7f34/1280x1280.jpg
Tweeterfriendly Music,Gin & Phonic,Drop of Rain,0,1,1,https://is3-ssl.mzstatic.com/image/thumb/Music/b0/1a/c0/mzi.ptdvqkkw.jpg/268x0w.jpg
Planet P Project,Pink World,Pink World,1984,,,http://www.recordsbymail.com/uploads/6-6-16-1/40084.jpg
Clp,Superinstrumental,Insatiable (Instrumental Version),0,,,https://f4.bcbits.com/img/a1392507907_16.jpg
JennyAnyKind,I Need You,Young Boy Blues,0,,1,https://images-na.ssl-images-amazon.com/images/I/31Tu5yobkbL._SX355_.jpg
Wayne Watson,The Way Home,The Urgency (LP Version),0,,,https://cdn-s3.allmusic.com/release-covers/500/0000/781/0000781869.jpg
Andy Andy,Placer & Castigo,La Culpa,0,,,https://images-na.ssl-images-amazon.com/images/I/514yIBqZWpL._SY355_.jpg
Bob Azzam,Arrivederci,Auguri Cha Cha,0,,,https://i.ytimg.com/vi/XPze2VrsKrA/hqdefault.jpg
Lionel Richie,Dancing On The Ceiling,Tonight Will Be Alright,1986,,,https://img.cdandlp.com/2017/09/imgL/118953268.jpg
Blue Rodeo,Outskirts,Floating,1987,,,https://cps-static.rovicorp.com/3/JPG_500/MI0001/928/MI0001928162.jpg?partner=allrovi.com
Richard Souther,Cross Currents,High Tide,0,1,,https://cps-static.rovicorp.com/3/JPG_500/MI0002/175/MI0002175611.jpg?partner=allrovi.com
Faiz Ali Faiz,Panjtan Ka Ghulam,Sohna Nee Sohna Data,0,,,http://e-cdn-images.deezer.com/images/cover/7045ddcbe328112898a4977beed2278a/500x500.jpg
Tesla,Gold,Caught In A Dream,2004,,,https://images-na.ssl-images-amazon.com/images/I/51Ai6mSM2KL.jpg
lextrical,Whatever Happened To Boredom?,Synthetic Dream,0,,1,
Jimmy Wakely,1942-1952 Jimmy Wakely,Broken-Down Merry-Go-Round,0,,,https://images-na.ssl-images-amazon.com/images/I/81jRxKEF02L._SX355_.jpg
Alice Stuart,All The Good Times,Kassie Jones,0,,,https://img.discogs.com/7GqCKyNLAHX2IHZ8biUxrSrFgs0=/fit-in/480x488/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-4340761-1362426804-7003.jpeg.jpg
