artist.id,artist.name,artist_mbtags,location,release.name,terms,title,year,CD,Download
ARD7TVE1187B99BFB1,Casual,,California - LA,Fear Itself,hip hop,I Didn't Mean To,0,1,1
ARMJAGH1187FB546F3,The Box Tops,classic pop and rock,"Memphis, TN",Dimensions,blue-eyed soul,Soul Deep,1969,,1
ARKRRTF1187B9984DA,Sonora Santanera,,Not available,Las Numero 1 De La Sonora Santanera,salsa,Amor De Cabaret,0,,
AR7G5I41187FB4CE6C,Adam Ant,uk,"London, England",Friend Or Foe,pop rock,Something Girls,1982,,
ARXR32B1187FB57099,Gob,,Not available,Muertos Vivos,pop punk,Face the Ashes,2007,,
ARKFYS91187B98E58F,Jeff And Sheri Easter,,Not available,Ordinary Day,southern gospel,The Moon And I (Ordinary Day Album Version),0,,
ARD0S291187B9B7BF5,Rated R,,Ohio,Da Ghetto Psychic,breakbeat,Keepin It Real (Skit),0,,
AR10USD1187B99F3F1,Tweeterfriendly Music,,"Burlington, Ontario, Canada",Gin & Phonic,post-hardcore,Drop of Rain,0,1,1
AR8ZCNI1187B9A069B,Planet P Project,,Not available,Pink World,new wave,Pink World,1984,,
ARNTLGG11E2835DDB9,Clp,,Not available,Superinstrumental,breakcore,Insatiable (Instrumental Version),0,,
ARGSJW91187B9B1D6B,JennyAnyKind,,North Carolina,I Need You,alternative rock,Young Boy Blues,0,,1
ARC43071187B990240,Wayne Watson,,"Wisner, LA",The Way Home,ccm,The Urgency (LP Version),0,,
ARL7K851187B99ACD2,Andy Andy,,Not available,Placer & Castigo,bachata,La Culpa,0,,
ARHHO3O1187B989413,Bob Azzam,,Not available,Arrivederci,chanson,Auguri Cha Cha,0,,
ARIK43K1187B9AE54C,Lionel Richie,soul and reggae,"Beverly Hills, CA",Dancing On The Ceiling,quiet storm,Tonight Will Be Alright,1986,,
ARD842G1187B997376,Blue Rodeo,canadian,"Toronto, Ontario, Canada",Outskirts,country rock,Floating,1987,,
ARIG6O41187B988BDD,Richard Souther,,United States,Cross Currents,chill-out,High Tide,0,1,
AR1ZHYZ1187FB3C717,Faiz Ali Faiz,,Not available,Panjtan Ka Ghulam,qawwali,Sohna Nee Sohna Data,0,,
ARYKCQI1187FB3B18F,Tesla,,Not available,Gold,hard rock,Caught In A Dream,2004,,
ARNPAGP1241B9C7FD4,lextrical,,Not available,Whatever Happened To Boredom?,indietronica,Synthetic Dream,0,,1
ARQGYP71187FB44566,Jimmy Wakely,,"Mineola, AR",1942-1952 Jimmy Wakely,classic country,Broken-Down Merry-Go-Round,0,,
ARI3BMM1187FB4255E,Alice Stuart,,Washington,All The Good Times,electric blues,Kassie Jones,0,,
AR5KOSW1187FB35FF4,Elena,,Dubai UAE,Un cafe_ setanta matins,uk garage,Setanta matins,0,1,
ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,rock and indie,"Morris Plains, NJ",Miss Machine,math-core,Setting Fire to Sleeping Giants,2004,,
AR47JEX1187B995D81,SUE THOMPSON,,"Nevada, MO",Sue Thompson - Her Very Best,pop rock,James (Hold The Ladder Steady),1985,,
ARGIWFO1187B9B55B7,Five Bolt Main,,Not available,Live,post-grunge,Made Like This (Live),0,,
ARNTLGG11E2835DDB9,Clp,,Not available,Strictly Confidential,breakcore,Superconfidential,0,,1
ARDNS031187B9924F0,Tim Wilson,,Georgia,The Real Twang Thang,filk,I Think My Wife Is Running Around On Me (Taco Hell),2005,1,
AROUOZZ1187B9ABE51,Willie Bobo,,"New York, NY [Spanish Harlem]",Willie Bobo's Finest Hour,latin jazz,Spanish Grease,1997,,
ARH4Z031187B9A71F2,Faye Adams,,"Newark, NJ",Shake A Hand,jump blues,Crazy Mixed Up World,1961,,
ARB29H41187B98F0EF,Terry Callier,classic pop and rock,Chicago,Occasional Rain,soul jazz,Do You Finally Need A Friend,1972,,1
AR1Y2PT1187FB5B9CE,John Wesley,,Brandon,The Emperor Falls,disco,The Emperor Falls,0,1,
ARAJPHH1187FB5566A,The Shangri-Las,,"Queens, NY",Best of The Shangri-Las,doo-wop,Twist and Shout,1964,,
AR0RCMP1187FB3F427,Billie Jo Spears,,"Beaumont, TX",20 Of Her Best,classic country,It Makes No Difference Now,1992,,
AREBBGV1187FB523D2,Mike Jones (Featuring CJ_ Mello & Lil' Bran),,"Houston, TX",Who Is Mike Jones?,rap,Laws Patrolling (Album Version),0,,
ARGUVEV1187B98BA17,Sierra Maestra,,Not available,Tibiri Tabara,charanga,A?DA3nde va Chichi?,1997,,
ARPQ4Z01187FB3A736,Butthole Surfers,texas,"San Antonio, TX",Piouhgd + Widowermaker!,noise rock,"Barking Dogs (From ""Piouhgd"")",0,,
ARNQAVF11F4C844C04,Despina Vandi,,Not available,Profities,dance pop,OUTE ENA EFHARISTO,0,,
ARXUT4W1187FB48BEB,Javier Navarrete,,Not available,Cracks,orchestra,Midnight Swim,0,,
ARDD1RC1187B9B52B4,Jacob Young,jazz and blues,Not available,Pieces Of Time,cool jazz,In A Subtle Way,0,,
ARLGWFM1187FB4AC9F,Scarlet's Remains,,California - LA,The Palest Grey,gothic metal,Spin,2007,,
ARWYVP51187B98C516,The Suicide Machines,,"Detroit, MI",A Match & Some Gasoline,ska punk,Burning In The Aftermath,2003,,
ARFCUN31187B9AD578,The Rolling Stones,british,"London, England",Jump Back - The Best Of The Rolling Stones_ '71-'93,blues,Angie (1993 Digital Remaster),0,,
AR6YDKV1187B989230,Roberto Torres,,Not available,Lo Mejor con La Orq. Broadway,salsa,Sabor Guajiro,0,,
ARV1JVD1187B9AD195,Loudon Wainwright III,easy listening soundtracks and musicals,"Chapel Hill, NC",Grown Man,modern rock,Human Cannonball,1995,,
AR7TTS41187B9B42D3,R.L. Burnside,delta blues,"Oxford, MS",A Bothered Mind,delta blues,Glory Be,2004,,
ART3O5Z1187B9AB043,Stevie Ray Vaughan,jazz and blues,"Dallas, TX",Greatest Hits,texas blues,Crossfire,1992,1,1
AR5U94U1187FB5CDCF,John Hammond,folk,Not available,Bluesman,blues,I Can't Be Satisfied,2002,,
ARRJNTE1187FB44E12,Casiotone For The Painfully Alone,dance and electronica,Not available,Etiquette,trip hop,Nashville Parthenon,2006,,
AR6IRG41187B9A4D98,Ec8or,,"Berlin, Germany",Ec8or,hardcore techno,Cocain Ducks,1995,,
ARS1OWB1187B99EEAD,The New York Dolls,punk,"New York, NY",Too Much Too Soon,glam rock,Human Being,1974,,
ARGMXQW1187FB54C34,Eliane Elias,brazilian,"Sao Paulo, Brazil",Bossa Nova Stories,brazilian jazz,The More I See You,2009,,
AROEL1B1187B988B90,Lost Boyz,american,"South Jamaica, Queens",Love_ Peace & Nappiness,gangster rap,Certain Things We Do,1997,,
AR8W8DN1187FB35ED0,The Germs,los angeles,"Los Angeles, CA",Germicide,rock,Forming,1977,1,
ARUWLCL1187FB549B8,Yamandu Costa,,Not available,MafuA!,brazilian jazz,MafuA!,0,,
AR3793X1187FB50CB3,Chris Rea,rock,"Middlesbrough, England",The Road To Hell Part 2,soft rock,Driving Home For Christmas,1986,,
ARINEWW1187FB5577E,Perrey And Kingsley,,Not available,Vanguard Visionaries,easy listening,Spooks In Space,1966,,
ARDGB6U1187FB3AD07,Eurythmics,british,"London, England",Be Yourself Tonight,dance rock,Tous Les GarASSons Et Les Filles,1985,,
AR2J2WF1187FB46271,Francis Dunnery,,"Egremont, Cumbria, England",Hometown 2001,singer-songwriter,Too Much Saturn,1995,,
ARUI8651187B9ACF52,John Cale,british,"Garnant, Wales",Eat / Kiss: Music For The Films By Andy Warhol,experimental rock,Movement 4 [from Kiss] (Album Version),1997,,
AR89DTT1187B9A7ED5,Suzanne Ciani,instrumental,California - SF,The Ultimate Most Relaxing New Age Piano in the Universe,meditation,Stream,0,1,1
ARMD0G81187B99A519,Vickie Winans,,Not available,Classic Gold: Best of All,ccm,Make Me Over,0,,
AR0VZWC1187B99BA57,The Berzerker,grindcore,"Melbourne, Australia",The Berzerker,speedcore,Deform (live),2000,,
ARF2EHS1187B994F4E,Kings Of Leon,american,"Nashville, Tennessee",Holy Roller Novocaine,southern rock,Wicker Chair,2003,,
